section,date,ymd,paper,author,title,doc_id,nword,nsentence,self_reference,accountability_word_count,investigation_related,documents_reveal,investigation_duration,series_indicated
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)",-Alison Knezevich;-Pamela Wood,"around the region; 
Balto. Co. Council elects Quirk to serve as chairman; 
State House press room could be renamed",110218,562,31,0,5,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Jess Nocera; Howard County Times; 
jnocera@baltsun.com;twitter.com/jessmnocera","Howard gets woman chief; 
Top cop is first female African-American to lead department",110219,814,45,0,4,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)",Dan Rodricks,"Happy anniversary, Dan; 
Forty years ago, Dan Rodricks wrote his first column in The Evening Sun. It's a doozy.; 
A great title for her book?; 
Knew Their Rights; 
Different in 68",110221,1070,93,1,8,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)",NA,"Jackson allegations return with new film; 
CELEBRITIES; 
Tribune news services",110222,432,24,1,8,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)",NA,"Lottery; 
Yesterday's numbers and recent drawings.",110224,188,15,0,0,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)","Jacques Kelly; The Baltimore Sun; 
jacques.kelly@baltsun.com","Phillip Sinsz; 
Hamilton resident continued his family's Walther Gardens business, selling Christmas trees and snowballs",110226,818,54,2,2,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)","Pamela Wood; The Baltimore Sun; 
pwood@baltsun.com;twitter.com/pwoodreporter","Klausmeier leads Senate as she steps in for Miller; 
Friday saw women preside over both chambers of state's General Assembly",110227,578,37,0,1,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)","Talia Richman; The Baltimore Sun; 
trichman@baltsun.com;twitter.com/TaliRichman","Academic program expands in Baltimore; 
James McHenry school; 
to become part of; 
The Ingenuity Project",110228,894,48,0,2,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110230,623,55,0,5,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)","Jessica Anderson; The Baltimore Sun; 
jkanderson@baltsun.com;twitter.com/janders5","Major to leave police training academy; 
Partee has been in charge since February; will take full-time teaching position",110231,890,45,1,20,0,1,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)","Lorraine Mirabella; The Baltimore Sun; 
lorraine.mirabella@baltsun.com;twitter.com/lmirabella","Prudential Financial backs opportunity zone in city; 
Company to make 'sizable' investment in Eastern Ave. mixed-use development",110232,359,11,0,2,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)",NA,"President using scare tactics to justify wall; 
The cost of a southern border wall is a 'pittance'; 
How Macbeth had Trump's number; 
Reopen the government, build a border wall",110233,756,40,1,13,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)",Jacques Kelly; jacques.kelly@baltsun.com,"Some old ghosts return for Restaurant Week; 
Shelley Howell has recovered some venerable recipes",110234,640,39,1,6,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)","Scott Dance; The Baltimore Sun; 
sdance@baltsun.com;twitter.com/ssdance","Snow arrives tonight;; 
2 to 4 inches expected; 
Snowfall would be first in area since November",110235,554,28,7,2,0,0,0,0
main news,2019-01-12,20190112,"Sun, The (Baltimore, MD)",NA,"Report: FBI probed if Trump secretly worked for Russia; 
NEWS BRIEFING; 
Staff and news services; 
Mexico deploys 4,000 troops, copters against pipeline theft; 
Rookie California cop is shot, killed in ambush at crash scene; 
Woman sought in death of; 
Nev. manicurist found in Ariz.; 
In Europe, 21 deaths deemed weather-related; 
Court says Ginsburg has no cancer remaining",110236,1002,37,0,11,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","THE BALTIMORE SUN; 
-Frederick N. Rasmussen","Louis B. Weckesser, engineer",110237,253,19,0,0,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","THE BALTIMORE SUN; 
The writer is chair of the Public Policy Committee, Maryland-DC Society of Addiction Medicine.","Readers Respond; 
Marijuana unproven as; 
help for opioid addiction; 
Don't legalize marijuana; 
Paying for diapers another handout for the poor; 
Without Trump, what would The Sun write about?",110238,808,42,2,5,0,0,0,0
taste,2019-01-16,20190116,"Sun, The (Baltimore, MD)",Wolfgang Puck; Tribune Content Agency,"Chervil brings hint of spring; 
A variation on a versatile winter soup",110239,861,53,0,4,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","THE BALTIMORE SUN; 
-Jacques Kelly","John M. Park, mathematician",110240,249,21,0,1,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","Catherine Rentz; The Baltimore Sun; 
crentz@baltsun.com;twitter.com/cdrentz","Officials seek end to sex assault lawsuit; 
Five women had sued over alleged incidents at UMBC, naming county authorities",110241,1282,49,2,48,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","Frederic B. Hill; THE BALTIMORE SUN; 
Frederic B. Hill (fhill207@gmail.com) was a former correspondent for The Baltimore Sun, and foreign affairs director for Sen. Charles McC. Mathias Jr., a Maryland Republican and a member of the Senate Foreign Relations Committee. He also is co-editor, wit",Trump team threatens national security,110242,774,53,2,7,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)",Dan ;Rodricks; drodricks@baltsun.com;twitter.com/DanRodricks,Cummings wants Big Pharma to explain,110243,831,42,0,6,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)",THE BALTIMORE SUN,Lottery,110244,196,16,0,0,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","Mary Carole McCauley; The Baltimore Sun; 
mmccauley@baltsun.com;twitter.com/mcmccauley","Single Carrot Theatre to leave its home in Remington; 
Troupe wants to refocus, re-engaging the community",110245,1126,59,1,9,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","Christina Tkacik; The Baltimore Sun; 
ctkacik@baltsun.com;twitter.com/xtinatkacik",Family members mourn Baltimore man killed while shoveling snow,110246,263,20,2,1,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","Christopher Bory; THE BALTIMORE SUN; 
Christopher Bory is a former Marylander who now lives in Wisconsin. His email is 414cjb@gmail.com.",Ravens fans have become ungrateful,110247,784,38,2,9,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","Luke Broadwater; The Baltimore Sun; 
luke.broadwater@baltsun.com;twitter.com/lukebroadwater","'Red flag' law spurred  gun seizures; 
Five of 302 cases statewide involved threats against Maryland schools",110248,759,38,0,12,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)",THE BALTIMORE SUN,"The anti-Trump; 
Our view: As he embarks on his 2nd term, Gov. Hogan will inevitably find himself a voice of opposition to the president if he sticks up for his constituents' interests",110249,957,47,0,18,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)","Frederick N. Rasmussen; The Baltimore Sun; 
fred.rasmussen@baltsun.com","Nellie M. Semans; 
Homemaker who was known for her graciousness; 
also co-managed a family farm in Virginia",110250,847,65,0,2,0,0,0,0
main news,2019-01-16,20190116,"Sun, The (Baltimore, MD)",THE BALTIMORE SUN,"Now GOP condemns racism?; 
Our view: Censuring King is one thing, standing up to President Trump is another",110251,572,42,0,9,0,0,0,0
taste,2019-01-16,20190116,"Sun, The (Baltimore, MD)",America's Test Kitchen,Forget the mess: Make shepherd's pie using 1 skillet,110252,557,32,0,0,0,0,0,0
taste,2019-01-16,20190116,"Sun, The (Baltimore, MD)",David Anderson; THE BALTIMORE SUN,"Jarrettsville Pit closes; new restaurant planned; 
Baltimore Diner; 
Owners of Kingsville's Gunpowder Lodge expect to open an establishment with an American sports bar theme",110253,779,34,2,6,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Mike Klingaman; The Baltimore Sun,"Ageless roller skaters are the wheel deal; 
No quit in competitors sharpening skills at Laurel Roller; 
Skating Center",110254,1061,70,0,0,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Jeff Barker, Colin Campbell;and Lorraine Mirabella; The Baltimore Sun; 
jebarker@baltsun.com;cmcampbell@baltsun.com;lorraine.mirabella@baltsun.com;twitter.com/sunjeffbarker;twitter.com/cmcampbell6;twitter.com/lmirabella","Shutdown stressing workers and families; 
Food pantries see jump in business; state sees drop in tax revenue",110255,1214,65,3,13,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)",THE BALTIMORE SUN,"Guns and the new Supreme Court; 
Our view: A court ready to expand gun rights hangs over Baltimore's crime fight",110256,742,34,0,20,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)",NA,"Trump's offer was a bad deal all the way around; 
Trump is acting the bully; 
Don't capitulate to obstructionist Democrats; 
Witcover's Trump-bashing is tiresome",110257,760,45,1,15,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","- Alison Knezevich ;- Luke Broadwater;- Cody Boteler, Baltimore Sun Media Group ;- Lillian Reed ;- Erika Butler, Baltimore Sun Media Group;- Christina Tkacik","Upgrades to 911 system would mean higher fees; 
Hogan announces plans for more charter school funds; 
Man found dead in Catonsville fire is identified; 
Two UM students charged with attempted burglary; 
Second man arrested in Aberdeen shooting; 
Bill honoring Tydings would protect horses",110258,1045,46,2,30,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Whitney Friedlander; Variety,The intriguing disguises behind 'Masked Singer',110259,535,18,0,4,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Kevin Rector; The Baltimore Sun; 
krector@baltsun.com;twitter.com/rectorsun",Shooting victim found dead after officer went to the wrong block,110261,996,43,1,8,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Sarah Meehan; The Baltimore Sun; 
smeehan@baltsun.com;twitter.com/sarahvmeehan","Bakery, tacos, poke and craft beer coming to Cross Street",110263,286,13,0,2,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",NA,fundamentals help pave way to a big win in online event,110264,425,16,0,2,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","THE BALTIMORE SUN; 
- Alison Knezevich ;- Luke Broadwater;- Cody Boteler, Baltimore Sun Media Group ;- Lillian Reed ;- Erika Butler, Baltimore Sun Media Group;- Christina Tkacik",Around The region,110265,1045,46,2,30,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Meredith Blake and Yvonne Villarreal; Tribune News Service,'Island' and 'Hills' return as reboot fever hits reality TV,110266,561,22,0,6,0,0,0,0
health and style,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Aramide Esubi; Tribune Content Agency,Steps to help simplify and declutter your work wardrobe,110267,569,31,0,0,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",NA,NOW PLAYING,110268,571,21,0,4,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)",-Lorraine Mirabella;-Baltimore Sun staff,"Under Armour hires former Harley-Davidson executive to be chief culture officer; 
Erickson Living to convert Marriott HQ in Bethesda into retirement community",110269,337,15,1,4,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",NA,best-sellers,110270,382,23,0,2,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Rich Heldenfels; Tribune News Service,What's the deal with Jack's 'MacGyver' disappearing act?,110271,645,40,0,3,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)",THE BALTIMORE SUN,"Readers Respond; 
Trump is acting the bully; 
Don't capitulate to obstructionist Democrats; 
Witcover's Trump-bashing is tiresome",110272,760,45,1,15,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)",NA,"Lottery; 
Yesterday's numbers and recent drawings.",110273,182,14,0,0,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Thiru Vignarajah; Thiru Vignarajah was deputy attorney general of Maryland and previously served as a federal and city prosecutor in Baltimore City. He can be reached at thiru.vignarajah@dlapiper.com.,Kill cash bail and reignite city outrage,110274,607,33,0,20,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Karen D. Stokes; Karen D. Stokes is the CEO of Strong City Baltimore. Her email is kstokes@strongcitybaltimore.org.,Transformation in East Baltimore,110276,853,34,0,8,0,0,0,0
health and style,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Sloane Brown; For The Baltimore Sun; 
Sloane Brown covers fashion-forward locals as a freelance contributor to The Baltimore Sun and runs baltimoresnap.com.",Vintage duds,110277,137,6,1,1,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Ian Duncan; The Baltimore Sun; 
iduncan@baltsun.com;twitter.com/iduncan",2 on council to stay 4 nights in D.C. at $300 a night,110278,255,12,0,7,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Amy Dickinson,"Parents disagree on first-name issue; 
Ask Amy",110279,628,32,0,3,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)",NA,"Guns and the new Supreme Court; 
Our view: A court ready to expand gun rights hangs over Baltimore's crime fight",110280,742,34,0,20,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Karen D. Stokes; THE BALTIMORE SUN; 
Karen D. Stokes is the CEO of Strong City Baltimore. Her email is kstokes@strongcitybaltimore.org.",Transformation in East Baltimore,110281,853,34,0,8,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Talia Richman; The Baltimore Sun; 
trichman@baltsun.com;twitter.com/TaliRichman","Autopsy shows cardiac arrest; 
Stress of struggle likely contributed to Anton Black's death",110282,1315,72,2,12,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Thiru Vignarajah; THE BALTIMORE SUN; 
Thiru Vignarajah was deputy attorney general of Maryland and previously served as a federal and city prosecutor in Baltimore City. He can be reached at thiru.vignarajah@dlapiper.com.",Kill cash bail and reignite city outrage,110283,607,33,0,20,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Chris Edelson; THE BALTIMORE SUN; 
Chris Edelson (edelson@american.edu) is an assistant professor of government in American University's School of Public Affairs. He is the author of ""Emergency Presidential Power: from the Drafting of the Constitution to the War on Terror.""","Politicking by the rules; 
Presidential hopefuls - Trump, too - should pledge to follow principles",110284,688,37,0,9,0,0,0,0
main news,2019-01-24,20190124,"Sun, The (Baltimore, MD)","Chris Edelson; Chris Edelson (edelson@american.edu) is an assistant professor of government in American University's School of Public Affairs. He is the author of ""Emergency Presidential Power: from the Drafting of the Constitution to the War on Terror.""","Politicking by the rules; 
Presidential hopefuls - Trump, too - should pledge to follow principles",110286,688,37,0,9,0,0,0,0
other,2019-01-24,20190124,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110287,589,52,0,5,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)",#NAME?,"Dr. Murray Kappelman, pediatrician",110288,444,29,0,0,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)",NA,"What about next time?; 
Our view: Many in Baltimore are optimistic about Mayor Pugh's new pick for police commissioner, but questions linger about the right process for such selections",110289,708,28,1,11,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)","Yvonne Wenger; The Baltimore Sun; 
ywenger@baltsun.com;twitter.com/yvonnewenger","City tries to reduce housing wait list; 
Housing Authority wants to remove families no longer looking for a place to live",110290,822,37,0,4,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)",The writers are Democrats representing Baltimore City and County in the General Assembly.,"Hogan executive order is constitutional; 
State doesn't have to do business with those who boycott Israel; 
Support more humanitarian aid",110291,778,36,1,20,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)","Danielle Ohl; Baltimore Sun Media Group; 
dohl@capgaznews.com",Money lacking to protect Annapolis against rising sea,110292,752,28,0,7,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)",NA,Lottery,110294,206,18,0,0,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)","Wes Moore; Wes Moore is an author, combat veteran and social entrepreneur. Twitter: @iamwesmoore.","David's story, a legacy; 
'His loss is nothing short of a tragedy'",110295,843,42,0,9,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)",NA,"Cut the act, Gov. Hogan; 
Our view: The governor knows that Baltimore schools - and many others in this state - are under-funded; he needs to engage in the effort to do something about it",110296,721,34,0,5,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110297,595,46,0,5,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)","Leslie Seid Margolis; Leslie Seid Margolis (LeslieM@disabilityrightsmd.org) is managing attorney at Disability Rights Maryland. Contributors to this op-ed include Cheryl Bost, Maryland State Education Association president; Shannen Coleman-Siciliano, Strong Schools Maryland co",Increasing state education funding is not a luxury,110299,751,31,1,7,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)","Nic Kipke; Del. Nic Kipke (nicholaus.kipke@house.state.md.us) is minority leader of the Maryland House of Delegates. Also contributing to this op-ed are Del. Kathy Szeliga, minority whip; Del. Matt Morgan, assistant minority leader; and Del. Jason Buckel, chief depu",Md. GOP priorities deserve attention,110300,859,43,0,14,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)","Jacques Kelly; The Baltimore Sun; 
jacques.kelly@baltsun.com","Michael E. Marr; 
Lawyer represented defendants in notable cases, including 'Little' Melvin Williams, a Baltimore drug dealer",110301,735,64,0,7,0,0,0,0
main news,2019-01-28,20190128,"Sun, The (Baltimore, MD)",- Colin Campbell;- Jacques Kelly;- Jacques Kelly;- Colin Campbell,"Ducky portraits; 
MTA extends free travel; 
for federal workers; 
Fort McHenry reopens after shutdown; 
Man is killed; 
in Westport shooting; 
Snow, ice, extreme cold; 
are in Baltimore forecast",110302,489,16,3,2,0,0,0,0
main news,2019-02-01,20190201,"Sun, The (Baltimore, MD)","Sarah Meehan;and Lillian Reed; The Baltimore Sun; 
smeehan@baltsun.com;twitter.com/sarahvmeehan","Homeless shelters full during extreme cold; 
Five dead of hypothermia in a week, three of them in Baltimore",110303,692,35,0,1,0,0,0,0
main news,2019-02-01,20190201,"Sun, The (Baltimore, MD)",THE BALTIMORE SUN,"Reto Baltimore; 
Trivia question",110305,104,7,1,2,0,0,0,0
wknd,2019-02-01,20190201,"Sun, The (Baltimore, MD)","Chris Kaltenbach; THE BALTIMORE SUN; 
ckaltenbach@baltsun.com;twitter.com/chriskaltsun",Weekend Watch,110306,496,34,3,3,1,0,0,0
main news,2019-02-01,20190201,"Sun, The (Baltimore, MD)","Catherine Rentz; The Baltimore Sun; 
crentz@baltsun.com;twitter.com/cdrentz","Ice makes fighting fires more dangerous; 
Firefighters turned out for fatal Glen Burnie blaze; 
in 8-degree weather",110307,474,24,0,3,0,0,0,0
